Topic,Tag,Tweet,Replies,Retweets,Likes,Quote Retweets,Sentiment Score,Sentiment
FIFA World Cup,News,39-year-old Pepe becomes the second-oldest World Cup scorer behind Cameroon’s Roger Milla.,0,7,29,54,0.0,neu
FIFA World Cup,News,O captain my captain   @officialpepe  ,4,201,514,15,0.0,neu
FIFA World Cup,News,WOWWW this Portugal team is ON SMOKE   #por,2,9,75,1,0.0,neu
FIFA World Cup,News,It's almost like when you drop Ronaldo it makes you a better team.,17,92,409,13,0.4601,pos
FIFA World Cup,News,"At 21y-169d, Goncalo Ramos is the 2nd youngest player to score for #Portugal at the #FIFAWorldCup.  The only player to score a WC goal at a younger age for Portugal was the man he replaced in the starting lineup today -- Cristiano Ronaldo in 2006 vs #IRN (21y-132d).",0,34,179,1,0.0,neu
FIFA World Cup,News,"Pepe becomes the second oldest player to score at a World Cup, after Roger Milla.",3,22,124,3,0.0,neu
FIFA World Cup,News,Pepe is still out here ruining people’s lives in 2022,9,54,277,2,-0.25,neg
FIFA World Cup,News,39 year old Pepe with a moment to remember in the #FIFAWorldCup ,0,0,41,N/A,0.0,neu
FIFA World Cup,News,PEPE DOUBLES PORTUGAL'S LEAD!!  #FIFAWorldCup,0,4,33,1,0.0,neu
FIFA World Cup,News,Portugal is absolutely buzzing as Pepe(!) doubles the lead. 2-0!  (via  @TelemundoSports ),1,3,17,18,0.0,neu
FIFA World Cup,News,"A lot of people were running ""What were you doing at 19"" when Bellingham was pulling those performances. So I wanna do a special challenge for the elders, What are you doing at 39? Pepe is scoring in a World Cup R16 fixture",4,16,125,126,0.4588,pos
FIFA World Cup,News,Bruno Fernndes   #MUFC | #WorldCup,1,6,80,82,0.0,neu
FIFA World Cup,News,[#POR playing with so much more fluidity]   Ronaldo on the bench:,5,16,136,2,0.2023,pos
FIFA World Cup,News,"Cristiano Ronaldo was right in the thick of Portugal’s celebration for Gonçalo Ramos’s goal. Half an hour in, it’s holding up vs the Swiss  https://trib.al/MIbt7Hj",3,38,268,8,0.0,neu
FIFA World Cup,News, What a hit that was from Goncalo Ramos   #MGLQatar2022 | #FIFAWorldCup,0,12,90,95,0.0,neu
FIFA World Cup,News,this Ruben Dias v Breel Embolo match up...,2,26,258,258,0.0,neu
FIFA World Cup,News,No chance for Yann Sommer   #FIFAWorldCup,6,32,200,2,-0.1877,neg
FIFA World Cup,News,Portugal's youngest knockout stage scorer?  Eusebio?  Cristiano Ronaldo? Pauleta? Luis Figo?  Nope. The honour goes to Gonçalo Ramos!   Listen on  @BBCSounds  and get more on the  @BBCSport  app   #BBCWorldCup #BBCFootball,7,39,289,3,-0.6428,neg
FIFA World Cup,News,Ronaldo was so happy for Pepe after his goal ,66,99,838,10,0.6948,pos
FIFA World Cup,News,39-years-old and still scoring big goals!  Pepe double’s Portugal’s lead with a thumping header    #PORSUI | #FIFAWorldCup,0,0,14,N/A,0.0,neu
CERB,News,Holy heck: $27.4 BILLION,16,35,54,12,0.0,neu
CERB,News,"Yes there are scammers out there that took advantage of the situation and took CERB payments.  What YOU would have done,  @PierrePoilievre , is let people lose their houses and starve in the streets.  Guess you'd be there to buy up real estate to then rent out, eh? #cdnpoli",8,16,43,43,-0.2263,neg
CERB,News,"I would love to see a grand total of the billions that the Liberals have wasted. The CERB fraud, the vaccine waste etc. It is not a few billion. It is a massive amount. The Liberals are spending 50 billion a year on the public service.",17,56,140,3,-0.3818,neg
CERB,News,Auditor general finds a ‘minimum’ of $27.4 billion in suspicious COVID benefit payments  Smfh. Where there’s handouts there’s abuse. What would happen if #CERB or #UBI were permanent?  Look how much debt was incurred in a short period of time,9,37,70,5,-0.7351,neg
CERB,News,I know personally a couple with two ocean front homes and a million in savings who collected CERB. I also know another guy who banked his CERB cheques and bought a vehicle.,9,8,32,12,0.0,neu
CERB,News,"""For them, the CERB represented more than 100% of income replacement. This may explain why approximately 2 million people stayed on the benefits for all 7 periods, for a total of 28 weeks.""  ~ Make them REPAY it.",2,2,8,1,0.3818,pos
CERB,News,"This doesn't bother me in the slightest.  CERB went out with the message that speed was the priority and the reconciliation would take place eventually.  If we had an electorate that was paying attention, this would be the AG doing their job instead of the spun 'scandal' incoming",3,8,27,20,-0.2177,neg
CERB,News,Governor General says CERB was a success because of  • Economic rebound • Mitigation of poverty and income inequality  However the AG fails to address inflation in her report.   The Bank of Canada reports that federal spending is contributing to inflation  #cdnpoli,1,6,7,1,-0.34,neg
CERB,News,"Ottawa has been working more for Albertans than the UCP govt. CERB, hundreds of millions for orphan well clean up, TMX purchase, CT rebates, etc. What did the UCP get us? Higher insurance, utility rates and municipal taxes. Thanks guys.",8,10,50,"1,179",0.7717,pos
CERB,News,CERB showed what UBI could do. Make hard lives liveable.,4,14,76,1,-0.1027,neg
CERB,News,"Tell me again, please, how CERB is to blame for inflation. ",31,39,142,142,-0.0258,neu
CERB,News,"Trudeau/Freeland trying to get back over $3.2 Billion in CERB payments.  They prove their incompetence, daily.  They appear to be the only ones who didn’t know the system was rife for abuse. More DEBT added to our Grandchildren’s future from Trudeau.",19,47,154,4,-0.9006,neg
CERB,News,"Trudeau is the best PM, even for Albertans. Please tell us what Harper did for Alberta. And I bet you were a CERB recipient. I bet you are taking advantage of the daycare subsidy. Time for Albertans to get their heads out of the oil sands.",23,36,172,186,0.8176,pos
CERB,News,"""Suicides in  went up after MAID’s introduction in 2016, but in 2020, after the government sent $2,000 CERB cheques to so many, rates fell by 15 %. That raises even more uncomfortable questions."" RT  @althiaraj  via  @TorontoStar    #AidNotMAiD",8,77,125,7,-0.5913,neg
CERB,News,"I lost my job due to a flood and had to apply for CERB. I then had to pay taxes on the CERB. Then I was told I was over paid $2000 and need to return the money, all $2000. All in all I (and most likely many others) were just forced into paying tax on $2000. Kudos, quite the scam.",1,0,2,N/A,-0.749,neg
CERB,News,"It’s absolutely possible immediately!  @JustinTrudeau  what on earth are you waiting for?! You cannot justify the delay when PWD are so poor & desperate they’re applying for MAiD. If you can roll out CERB fast, you can get this benefit to PWD NOW. ",0,30,46,1,-0.3973,neg
CERB,News,wtf is the government gonna do if i don’t pay back cerb? kill me? please fucking do,2,2,9,9,-0.8385,neg
CERB,News,"I used to vote NDP and up until I left BC, I received junk mail from my MP who BRAGGED about how the NDP were massive supporters of extending the CERB, which is a HUGE reason why we're dealing with THIS ",0,1,6,6,0.7125,pos
CERB,News,"“Suicides in Canada went up after MAID’s introduction in 2016, but in 2020, after the government sent $2,000 CERB cheques to so many, rates fell by 15 per cent. That raises even more uncomfortable questions.” https://thestar.com/amp/politics/provincial/2022/11/29/justice-minister-david-lametti-under-fire-for-unbelievable-comparisons-between-euthanasia-and-suicide.html…",53,806,"2,338",51,-0.5913,neg
CERB,News,"According to today’s #AuditorGeneral report $4.6B in #CERB payments went to *ineligible* individuals, and as a taxpayer who received zero dollars in COVID-19 government handouts, I believe every single dime of that money must be recovered.  Every.  Single.  Dime. ",2,0,5,N/A,0.0,neu
CERB,News,"So $4.6 Billion wasted on CERB, $1 Billion wasted on vaccines. Our financial woes sit squarely on federal government incompetence and corruption",0,0,0,N/A,-0.9163,neg
