Topic,Tag,Tweet,Replies,Retweets,Likes,Quote Retweets,Sentiment Score,Sentiment
FIFA World Cup,Celeb,"When Pepe moved to Besiktas on a free transfer in 2017, I don’t think there was a single person who said “Yeah, in five years he’s still going to be Portugal’s best center back and still performing at an elite level for club and country.” Unbelievable longevity.",7,16,224,N/A,0.8519,pos
FIFA World Cup,Celeb,"Pepe is Portugal’s best CB, it would have to be Dias",1,6,67,0,0.6369,pos
FIFA World Cup,Celeb,"@MauriceEdu ,  @ochocinco  and  @kate_abdo   discuss Portugal's performance against Switzerland and Ronaldo's impact on the team ",8,4,63,63,0.0,neu
FIFA World Cup,Celeb,"Chad's Day at the Match   From the thrills of a historic Morocco win over Spain to an impressive offensive firepower display by Portugal against Switzerland,  @ochocinco  was in the middle of all the action  ",8,21,158,2,0.765,pos
FIFA World Cup,Celeb,#FIFAWorldCup Moment of the Day: @AnirudhMenon89  writes about a moment that happened off-the-field: when Portugal's team sheet dropped... and Cristiano Ronaldo's name wasn't in the playing XI.,4,6,91,92,-0.1511,neg
FIFA World Cup,Celeb,Better without Ronaldo?  @AlexiLalas  and  @StatManMosse  react to Portugal's impressive performance against Switzerland.   Sponsored by  @StateFarm  #GoodNeighbor,14,17,134,0,0.7351,pos
FIFA World Cup,Celeb,"Two Portuguese teams are going to be playing in the Champions League Round of 16 — only one Spanish team is going to be playing there.  Portugal are playing in the World Cup quarterfinals, Spain aren’t.",12,31,365,0,0.7783,pos
FIFA World Cup,Celeb,Portugal hit Switzerland for six and Morocco shock Spain – Football Daily podcast,8,36,192,0,-0.3818,neg
FIFA World Cup,Celeb,"Compared to Portugal’s other two fullbacks, Diogo Dalot is outperforming both in key passes per game, assists per 90, ground duels won, aerial duels won, and various other key metrics in his four Portugal appearances in 2022. Interesting graphic from Instat.",5,19,171,0,0.8779,pos
FIFA World Cup,Celeb,"MATT BARLOW: Fernando Santos' patience with Cristiano Ronaldo has finally snapped, and he was rewarded for dropping him as Portugal thrashed Switzerland |  @Matt_Barlow_DM",9,17,186,0,0.4939,pos
FIFA World Cup,Celeb, - The full list of all  possible World Cup finals and their chances:  #BRA #FRA #ARG #ENG #POR #CRO #NED #MAR  #WorldCup2022,10,52,246,0,0.2023,pos
FIFA World Cup,Celeb,I'm at 736  We'll see the Portugal lineup before we have to make transfers.  I only have 3 mids and one of them is Olmo so if BRA & ARG win then I'm going to have to transfer in a mid.  Maybe I'll get Bruno (c) plus Pepe & Guerrero,2,0,11,0,0.5859,pos
FIFA World Cup,Celeb,"This would make sense, given the state of their performance.  And in that case, it would be a real shame.  #WorldCup #SUI  @TheAthleticFC",4,2,28,1,-0.4767,neg
