Topic,Tag,Tweet,Replies,Retweets,Likes,Quote Retweets,Sentiment Score,Sentiment
NBA,Tech,Please Lord wrap your healing arms around our Bob. He is so loved and we are all praying for a speedy recovery.  @BobRathbunTV  @ATLHawks,0,0,1,N/A,0.8687,pos
NBA,Tech,"Prayers up to Hawks broadcaster  @BobRathbunTV , who suffered what a scary medical emergency at the start of the broadcast tonight vs. the Thunder ",0,5,14,15,-0.8402,neg
NBA,Tech,My view for the night.  Hawks vs Oklahoma City. #TrueToAtlanta,0,0,3,N/A,0.0,neu
NBA,Tech,Pregame prep,2,5,84,84,0.0,neu
NBA,Tech,Getting warm ,5,18,118,3,0.2263,pos
NBA,Tech,Trae Young and a Hawks reporter briefly go at it about Young’s absence in a recent game.  “A private matter remains private.” ,0,1,5,5,0.0258,neu
NBA,Tech,"The weather outside is frightful, but that's okay we're hoopin inside  #ULTRADrip |  @MichelobULTRA",7,21,202,1,0.0516,pos
NBA,Tech,"The thunder that will strike you to death has started doing press-up okoko, mad people everywhere, idiot. @EjioforBar  . If you like write full page of your books you normally carried to court, tweet 1 million times a day, sit at home most continue and most be obeyed, idiot.",1,1,1,1,-0.918,neg
NBA,Tech,"1,25% MIL Bucks x ORL Magic 0,75% OKC Thunder x ATL Hawks 0,5% PHI76ers x HOU Rockets  0,5% PHX Suns x DAL Mavericks 0,25% Múltipla pra brincar",0,0,0,N/A,0.0,neu
NBA,Tech,Hawks players out today:  John Collins De'Andre Hunter Trent Forrest  Everyone else is back!,4,6,169,2,0.0,neu
NBA,Tech,Shai over (30.5) Points Does Shai’s prop continue to climb YES does he keep delivering YES. Atlanta gives up the second most points to Point Guards in the nba I except Shai to be scoring all night on them #MoneyMaker,0,0,2,N/A,0.7824,pos
#90DayFiance,Tech,"For a woman with very little screen time and very little words, she sure has made me dislike her an awful lot. #90DayFiance #90DayFianceHappilyEverAfter",62,41,866,5,-0.552,neg
#90DayFiance,Tech,Jamal is all of us.  #90DayFianceHappilyEverAfter #90dayfiance,11,29,492,1,0.0,neu
#90DayFiance,Tech,The ONLY PERSON ON THE SHOW WITH COMMON SENSE!!! #90DayFianceHappilyEverAfter #90DayFiance,28,43,868,12,0.0,neu
#90DayFiance,Tech,So am I the only one who thinks Shaeeda should leave Bilal and her best friend gives horrible advice? #90DayFianceHappilyEverAfter #90DayFiance,26,14,440,2,0.5719,pos
#90DayFiance,Tech,Yara is making me side with Jovi and I don’t like that  #90DayFianceHappilyEverAfter #90DayFiance #90DayFianceHEA,27,57,900,7,0.3612,pos
#90DayFiance,Tech,Plot twist: nobody called immigration. They just watch the show every Sunday and are concerned by how much he yells at his wife #90DayFiance #90DayFianceHappilyEverAfter,42,53,"1,244",8,0.0,neu
#90DayFiance,Tech,"If anyone ever asks you this, you are in the wrong relationship  #90DayFianceHEA #90DayFianceHappilyEverAfter #90DayFiance",119,131,"1,536",16,-0.4767,neg
#90DayFiance,Tech,Bilal is hurt the helicopter ride was ruined because Shaeda gave him an ultimatum. I guess he forgot about the ferris wheel ride he ruined with a prenuptial agreement. Now they’re even #90DayFiance  #90DayFianceHappilyEverAfter,8,12,308,1,-0.7506,neg
#90DayFiance,Tech,Thank you for helping us get mom’s blessing.  Now we need your child.   #90DayFianceHappilyEverAfter #90DayFiance,40,12,245,3,0.7845,pos
#90DayFiance,Tech,Wait… Liz’s ex has full custody and she has her daughter “from time to time”?! She must be a bigger mess than even the show depicts. #90dayfiance #90DayFianceHEA,63,23,819,1,-0.4199,neg
#90DayFiance,Tech,Starting the Tell All with drama    #90dayfiancethesinglelife #90DayFiance,0,2,14,14,0.0,neu
#90DayFiance,Tech,Me walking into work like  #90DayFiance #90DayFiancesinglelife #90DayFianceTellAll,1,13,101,3,0.3612,pos
#90DayFiance,Tech,Funny how Natalie seems to find her voice to comment on others but can't answer a single question properly.  #90DayFiance #90DayTellAll #90DayFianceTellAll #90DayTheSingleLife,12,10,231,4,0.2382,pos
#90DayFiance,Tech,Tiffany said if Ronald wants to see the kids she’ll meet him half way #90DayFiance #90dayfiancethesinglelife,0,0,5,N/A,0.0,neu
#90DayFiance,Tech,Why isn’t anyone calling this for what it is?? She won’t divorce Mike bc she will be deported (eventually war or not). She can’t ditch him until she locks another idiot down. #90DayFiance #90DayFianceTellAll #90dayfiancethesinglelife #,63,41,678,3,-0.8205,neg
#90DayFiance,Tech,She’s a typical abuser. Narcissistic. Gaslighter. Never does anything wrong. Everything that goes on is Michael’s fault. #90dayfiance #90DayFianceHappilyEverAfter #90DayFianceHEA,50,21,529,2,-0.5784,neg
#90DayFiance,Tech,"Shaeeda’s friend, pls stop with this “forget your birth control pills” scenario! Babies are not meant to trap people! If Bilal doesn’t want kids and she does, then they should break up  #90DayFianceHappilyEverAfter #90DayFianceHEA #90DayFiance",32,22,361,4,0.6305,pos
#90DayFiance,Tech,Our fine host is 60 years old! Can we believe that??? Looking fab  @shaunrobinson   #90DayFiance #90DayFianceTellAll #90dayfiancethesinglelife,109,21,719,5,0.684,pos
#90DayFiance,Tech,When everyone around you is in a relationship but you’re still single af: #90DayFiance #90DayFianceHappilyEverAfter,12,11,131,132,0.0,neu
#90DayFiance,Tech,Ronald lost his  when Tiffany came with the truth! #90DayFianceTheSingleLife #90DayFiance,0,1,10,12,0.0,neu
#90DayFiance,Tech,Did Natalie just try to make herself appealing for Caesar?  #90DayFiance #90DayTheSingleLife  @TLC,0,0,2,N/A,0.0,neu
#90DayFiance,Tech,The Sumit Summit  #90DayFiance #90DayFianceHappilyEverAfter #90dayfianceHEA,23,14,320,2,0.0,neu
#90DayFiance,Tech,Debbie needs to focus on her taming her billy goat son rather than chiming in  on everyone else’s drama  #90DayFiance #90DayFianceTellAll,81,30,905,7,0.0,neu
#90DayFiance,Tech,Don’t Canada got free healthcare?! Tf he need Angela for anyways??? #90DayFiance #90DayFianceHappilyEverAfter,29,14,312,312,0.6759,pos
RIP Bob,Tech,"Sesame Workshop mourns the passing of Bob McGrath, a beloved member of the Sesame Street family for over 50 years.  1/4",852,"9,202",40K,"2,131",-0.0258,neu
RIP Bob,Tech,"Rest in Peace, Bob McGrath.  Thank you for being a person in our neighborhood ",672,11.4K,60.6K,"1,658",0.7184,pos
RIP Bob,Tech,'Sesame Street' veteran Bob McGrath has passed away at the age of 90  RIP,169,"2,271",11.5K,312,0.0,neu
RIP Bob,Tech,"RIP, Bob McGrath. Thanks for being the only Sesame Street resident to remember the Jewish people back in 1978.",34,513,"3,206",19,0.4404,pos
RIP Bob,Tech,RIP Bob McGrath. ,7,115,682,14,0.0,neu
RIP Bob,Tech,"From the very first episode of Sesame Street in 1969.  Another childhood icon gone.  RIP, Bob McGrath.",21,393,"1,587",4,0.0,neu
RIP Bob,Tech,#RIP Bob McGrath from Sesame Street > https://tmz.com/2022/12/04/sesame-street-actor-bob-mcgrath-dead-dies/…,45,489,"2,569",80,0.0,neu
RIP Bob,Tech,RIP Bob!,6,77,516,1,0.0,neu
RIP Bob,Tech,"RIP Bob McGrath. I was a first generation Sesame Street kid and I loved everything about the show. The music, the muppets. It was way ahead of it's time. And Bob radiated kindness as did all the other cast members. RS",11,12,200,1,0.7845,pos
RIP Bob,Tech,"RIP Bob McGrath of Sesame Street. That man was like a surrogate grandfather to so many of us growing up. The notion of being able to positively impact that many kids, across that many generations, is nothing short of astonishing.",21,450,"2,684",5,0.765,pos
RIP Bob,Tech,RIP Bob McGrath. You were a good friend and wonderful person. My thoughts and prayers are with your family. I hope to help out if I can. #sesamestreet #sesamestreetBob,14,51,405,3,0.9371,pos
RIP Bob,Tech,RIP Bob. Suddenly the day is less sunny…,46,78,572,8,0.0,neu
RIP Bob,Tech,No woman No cry #fugees#RIP Bob,0,2,8,8,0.3054,pos
RIP Bob,Tech,"I remember watching Sesame Street when it first started. It, Romper Room and Electric Company were my favorites. RIP Bob.",19,9,242,242,0.4215,pos
RIP Bob,Tech,RIP Bob McGrath,0,7,21,21,0.0,neu
RIP Bob,Tech,"Bob was…IS our childhood. He was an amazingly kind and generous person. I wish I had more magical days with him. RIP, Bob.",2,9,250,5,0.8737,pos
RIP Bob,Tech,RIP Bob McGrath  Sesame Street won’t be the same without you.,0,0,4,N/A,0.0,neu
RIP Bob,Tech,"I was just watching Christmas Eve on Sesame Street with my son, just like my parents and I did every year with me. It was a joy to have Bob on our TV as me and my children grew up. He will be deeply missed! RIP Bob",1,4,55,"9,203",0.6248,pos
